part,wage_from,wage_to,employer,employee,total
A,3100.01,3120.00,406.00,344.00,750.00
A,3120.01,3140.00,409.00,346.00,755.00
A,3140.01,3160.00,411.00,348.00,759.00
A,3160.01,3180.00,414.00,350.00,764.00
A,3180.01,3200.00,416.00,352.00,768.00
A,3200.01,3220.00,419.00,355.00,774.00
A,3220.01,3240.00,422.00,357.00,779.00
A,3240.01,3260.00,424.00,359.00,783.00
A,3260.01,3280.00,427.00,361.00,788.00
A,3280.01,3300.00,429.00,363.00,792.00
A,3300.01,3320.00,432.00,366.00,798.00
A,3320.01,3340.00,435.00,368.00,803.00
A,3340.01,3360.00,437.00,370.00,807.00
A,3360.01,3380.00,440.00,372.00,812.00
A,3380.01,3400.00,442.00,374.00,816.00
A,3400.01,3420.00,445.00,377.00,822.00
A,3420.01,3440.00,448.00,379.00,827.00
A,3440.01,3460.00,450.00,381.00,831.00
A,3460.01,3480.00,453.00,383.00,836.00
A,3480.01,3500.00,455.00,385.00,840.00
A,3500.01,3520.00,458.00,388.00,846.00
A,3520.01,3540.00,461.00,390.00,851.00
A,3540.01,3560.00,463.00,392.00,855.00
A,3560.01,3580.00,466.00,394.00,860.00
A,3580.01,3600.00,468.00,396.00,864.00
A,3600.01,3620.00,471.00,399.00,870.00
A,3620.01,3640.00,474.00,401.00,875.00
A,3640.01,3660.00,476.00,403.00,879.00
A,3660.01,3680.00,479.00,405.00,884.00
A,3680.01,3700.00,481.00,407.00,888.00
A,3700.01,3720.00,484.00,410.00,894.00
A,3720.01,3740.00,487.00,412.00,899.00
A,3740.01,3760.00,489.00,414.00,903.00
A,3760.01,3780.00,492.00,416.00,908.00
A,3780.01,3800.00,494.00,418.00,912.00
A,3800.01,3820.00,497.00,421.00,918.00
A,3820.01,3840.00,500.00,423.00,923.00
A,3840.01,3860.00,502.00,425.00,927.00
A,3860.01,3880.00,505.00,427.00,932.00
A,3880.01,3900.00,507.00,429.00,936.00
A,3900.01,3920.00,510.00,432.00,942.00
A,3920.01,3940.00,513.00,434.00,947.00
A,3940.01,3960.00,515.00,436.00,951.00
A,3960.01,3980.00,518.00,438.00,956.00
A,3980.01,4000.00,520.00,440.00,960.00
A,4000.01,4020.00,523.00,443.00,966.00
A,4020.01,4040.00,526.00,445.00,971.00
A,4040.01,4060.00,528.00,447.00,975.00
A,4060.01,4080.00,531.00,449.00,980.00
A,4080.01,4100.00,533.00,451.00,984.00
A,4100.01,4120.00,536.00,454.00,990.00
A,4120.01,4140.00,539.00,456.00,995.00
A,4140.01,4160.00,541.00,458.00,999.00
A,4160.01,4180.00,544.00,460.00,1004.00
A,4180.01,4200.00,546.00,462.00,1008.00
A,4200.01,4220.00,549.00,465.00,1014.00
A,4220.01,4240.00,552.00,467.00,1019.00
A,4240.01,4260.00,554.00,469.00,1023.00
A,4260.01,4280.00,557.00,471.00,1028.00
A,4280.01,4300.00,559.00,473.00,1032.00
A,4300.01,4320.00,562.00,476.00,1038.00
A,4320.01,4340.00,565.00,478.00,1043.00
A,4340.01,4360.00,567.00,480.00,1047.00
A,4360.01,4380.00,570.00,482.00,1052.00
A,4380.01,4400.00,572.00,484.00,1056.00
A,4400.01,4420.00,575.00,487.00,1062.00
A,4420.01,4440.00,578.00,489.00,1067.00
A,4440.01,4460.00,580.00,491.00,1071.00
A,4460.01,4480.00,583.00,493.00,1076.00
A,4480.01,4500.00,585.00,495.00,1080.00
A,4500.01,4520.00,588.00,498.00,1086.00
A,4520.01,4540.00,591.00,500.00,1091.00
A,4540.01,4560.00,593.00,502.00,1095.00
A,4560.01,4580.00,596.00,504.00,1100.00
A,4580.01,4600.00,598.00,506.00,1104.00
A,4600.01,4620.00,601.00,509.00,1110.00
A,4620.01,4640.00,604.00,511.00,1115.00
A,4640.01,4660.00,606.00,513.00,1119.00
A,4660.01,4680.00,609.00,515.00,1124.00
A,4680.01,4700.00,611.00,517.00,1128.00
A,4700.01,4720.00,614.00,520.00,1134.00
A,4720.01,4740.00,617.00,522.00,1139.00
A,4740.01,4760.00,619.00,524.00,1143.00
A,4760.01,4780.00,622.00,526.00,1148.00
A,4780.01,4800.00,624.00,528.00,1152.00
A,4800.01,4820.00,627.00,531.00,1158.00
A,4820.01,4840.00,630.00,533.00,1163.00
A,4840.01,4860.00,632.00,535.00,1167.00
A,4860.01,4880.00,635.00,537.00,1172.00
A,4880.01,4900.00,637.00,539.00,1176.00
A,4900.01,4920.00,640.00,542.00,1182.00
A,4920.01,4940.00,643.00,544.00,1187.00
A,4940.01,4960.00,645.00,546.00,1191.00
A,4960.01,4980.00,648.00,548.00,1196.00
A,4980.01,5000.00,650.00,550.00,1200.00
A,5000.01,5100.00,612.00,561.00,1173.00
A,5100.01,5200.00,624.00,572.00,1196.00
A,5200.01,5300.00,636.00,583.00,1219.00
A,5300.01,5400.00,648.00,594.00,1242.00
A,5400.01,5500.00,660.00,605.00,1265.00
A,5500.01,5600.00,672.00,616.00,1288.00
A,5600.01,5700.00,684.00,627.00,1311.00
A,5700.01,5800.00,696.00,638.00,1334.00
A,5800.01,5900.00,708.00,649.00,1357.00
A,5900.01,6000.00,720.00,660.00,1380.00
A,6000.01,6100.00,732.00,671.00,1403.00
A,6100.01,6200.00,744.00,682.00,1426.00
A,6200.01,6300.00,756.00,693.00,1449.00
A,6300.01,6400.00,768.00,704.00,1472.00
A,6400.01,6500.00,780.00,715.00,1495.00
A,6500.01,6600.00,792.00,726.00,1518.00
A,6600.01,6700.00,804.00,737.00,1541.00
A,6700.01,6800.00,816.00,748.00,1564.00
A,6800.01,6900.00,828.00,759.00,1587.00
A,6900.01,7000.00,840.00,770.00,1610.00
A,7000.01,7100.00,852.00,781.00,1633.00
A,7100.01,7200.00,864.00,792.00,1656.00
A,7200.01,7300.00,876.00,803.00,1679.00
A,7300.01,7400.00,888.00,814.00,1702.00
A,7400.01,7500.00,900.00,825.00,1725.00
A,7500.01,7600.00,912.00,836.00,1748.00
A,7600.01,7700.00,924.00,847.00,1771.00
A,7700.01,7800.00,936.00,858.00,1794.00
A,7800.01,7900.00,948.00,869.00,1817.00
A,7900.01,8000.00,960.00,880.00,1840.00
A,8000.01,8100.00,972.00,891.00,1863.00
A,8100.01,8200.00,984.00,902.00,1886.00
A,8200.01,8300.00,996.00,913.00,1909.00
A,8300.01,8400.00,1008.00,924.00,1932.00
A,8400.01,8500.00,1020.00,935.00,1955.00
A,8500.01,8600.00,1032.00,946.00,1978.00
A,8600.01,8700.00,1044.00,957.00,2001.00
A,8700.01,8800.00,1056.00,968.00,2024.00
A,8800.01,8900.00,1068.00,979.00,2047.00
A,8900.01,9000.00,1080.00,990.00,2070.00
A,9000.01,9100.00,1092.00,1001.00,2093.00
A,9100.01,9200.00,1104.00,1012.00,2116.00
A,9200.01,9300.00,1116.00,1023.00,2139.00
A,9300.01,9400.00,1128.00,1034.00,2162.00
A,9400.01,9500.00,1140.00,1045.00,2185.00
A,9500.01,9600.00,1152.00,1056.00,2208.00
A,9600.01,9700.00,1164.00,1067.00,2231.00
A,9700.01,9800.00,1176.00,1078.00,2254.00
A,9800.01,9900.00,1188.00,1089.00,2277.00
A,9900.01,10000.00,1200.00,1100.00,2300.00
A,10000.01,10100.00,1212.00,1111.00,2323.00
A,10100.01,10200.00,1224.00,1122.00,2346.00
A,10200.01,10300.00,1236.00,1133.00,2369.00
A,10300.01,10400.00,1248.00,1144.00,2392.00
A,10400.01,10500.00,1260.00,1155.00,2415.00
A,10500.01,10600.00,1272.00,1166.00,2438.00
A,10600.01,10700.00,1284.00,1177.00,2461.00
A,10700.01,10800.00,1296.00,1188.00,2484.00
A,10800.01,10900.00,1308.00,1199.00,2507.00
A,10900.01,11000.00,1320.00,1210.00,2530.00
A,11000.01,11100.00,1332.00,1221.00,2553.00
A,11100.01,11200.00,1344.00,1232.00,2576.00
A,11200.01,11300.00,1356.00,1243.00,2599.00
A,11300.01,11400.00,1368.00,1254.00,2622.00
A,11400.01,11500.00,1380.00,1265.00,2645.00
A,11500.01,11600.00,1392.00,1276.00,2668.00
A,11600.01,11700.00,1404.00,1287.00,2691.00
A,11700.01,11800.00,1416.00,1298.00,2714.00
A,11800.01,11900.00,1428.00,1309.00,2737.00
A,11900.01,12000.00,1440.00,1320.00,2760.00
A,12000.01,12100.00,1452.00,1331.00,2783.00
A,12100.01,12200.00,1464.00,1342.00,2806.00
A,12200.01,12300.00,1476.00,1353.00,2829.00
A,12300.01,12400.00,1488.00,1364.00,2852.00
A,12400.01,12500.00,1500.00,1375.00,2875.00
A,12500.01,12600.00,1512.00,1386.00,2898.00
A,12600.01,12700.00,1524.00,1397.00,2921.00
A,12700.01,12800.00,1536.00,1408.00,2944.00
A,12800.01,12900.00,1548.00,1419.00,2967.00
A,12900.01,13000.00,1560.00,1430.00,2990.00
A,13000.01,13100.00,1572.00,1441.00,3013.00
A,13100.01,13200.00,1584.00,1452.00,3036.00
A,13200.01,13300.00,1596.00,1463.00,3059.00
A,13300.01,13400.00,1608.00,1474.00,3082.00
A,13400.01,13500.00,1620.00,1485.00,3105.00
A,13500.01,13600.00,1632.00,1496.00,3128.00
A,13600.01,13700.00,1644.00,1507.00,3151.00
A,13700.01,13800.00,1656.00,1518.00,3174.00
A,13800.01,13900.00,1668.00,1529.00,3197.00
A,13900.01,14000.00,1680.00,1540.00,3220.00
A,14000.01,14100.00,1692.00,1551.00,3243.00
A,14100.01,14200.00,1704.00,1562.00,3266.00
A,14200.01,14300.00,1716.00,1573.00,3289.00
A,14300.01,14400.00,1728.00,1584.00,3312.00
A,14400.01,14500.00,1740.00,1595.00,3335.00
A,14500.01,14600.00,1752.00,1606.00,3358.00
A,14600.01,14700.00,1764.00,1617.00,3381.00
A,14700.01,14800.00,1776.00,1628.00,3404.00
A,14800.01,14900.00,1788.00,1639.00,3427.00
A,14900.01,15000.00,1800.00,1650.00,3450.00
A,15000.01,15100.00,1812.00,1661.00,3473.00
A,15100.01,15200.00,1824.00,1672.00,3496.00
A,15200.01,15300.00,1836.00,1683.00,3519.00
A,15300.01,15400.00,1848.00,1694.00,3542.00
A,15400.01,15500.00,1860.00,1705.00,3565.00
A,15500.01,15600.00,1872.00,1716.00,3588.00
A,15600.01,15700.00,1884.00,1727.00,3611.00
A,15700.01,15800.00,1896.00,1738.00,3634.00
A,15800.01,15900.00,1908.00,1749.00,3657.00
A,15900.01,16000.00,1920.00,1760.00,3680.00
A,16000.01,16100.00,1932.00,1771.00,3703.00
A,16100.01,16200.00,1944.00,1782.00,3726.00
A,16200.01,16300.00,1956.00,1793.00,3749.00
A,16300.01,16400.00,1968.00,1804.00,3772.00
A,16400.01,16500.00,1980.00,1815.00,3795.00
A,16500.01,16600.00,1992.00,1826.00,3818.00
A,16600.01,16700.00,2004.00,1837.00,3841.00
A,16700.01,16800.00,2016.00,1848.00,3864.00
A,16800.01,16900.00,2028.00,1859.00,3887.00
A,16900.01,17000.00,2040.00,1870.00,3910.00
A,17000.01,17100.00,2052.00,1881.00,3933.00
A,17100.01,17200.00,2064.00,1892.00,3956.00
A,17200.01,17300.00,2076.00,1903.00,3979.00
A,17300.01,17400.00,2088.00,1914.00,4002.00
A,17400.01,17500.00,2100.00,1925.00,4025.00
A,17500.01,17600.00,2112.00,1936.00,4048.00
A,17600.01,17700.00,2124.00,1947.00,4071.00
A,17700.01,17800.00,2136.00,1958.00,4094.00
A,17800.01,17900.00,2148.00,1969.00,4117.00
A,17900.01,18000.00,2160.00,1980.00,4140.00
A,18000.01,18100.00,2172.00,1991.00,4163.00
A,18100.01,18200.00,2184.00,2002.00,4186.00
A,18200.01,18300.00,2196.00,2013.00,4209.00
A,18300.01,18400.00,2208.00,2024.00,4232.00
A,18400.01,18500.00,2220.00,2035.00,4255.00
A,18500.01,18600.00,2232.00,2046.00,4278.00
A,18600.01,18700.00,2244.00,2057.00,4301.00
A,18700.01,18800.00,2256.00,2068.00,4324.00
A,18800.01,18900.00,2268.00,2079.00,4347.00
A,18900.01,19000.00,2280.00,2090.00,4370.00
A,19000.01,19100.00,2292.00,2101.00,4393.00
A,19100.01,19200.00,2304.00,2112.00,4416.00
A,19200.01,19300.00,2316.00,2123.00,4439.00
A,19300.01,19400.00,2328.00,2134.00,4462.00
A,19400.01,19500.00,2340.00,2145.00,4485.00
A,19500.01,19600.00,2352.00,2156.00,4508.00
A,19600.01,19700.00,2364.00,2167.00,4531.00
A,19700.01,19800.00,2376.00,2178.00,4554.00
A,19800.01,19900.00,2388.00,2189.00,4577.00
A,19900.01,20000.00,2400.00,2200.00,4600.00
C,0.01,10.00,0.00,0.00,0.00
C,10.01,20.00,2.00,2.00,4.00
C,20.01,40.00,3.00,3.00,6.00
C,40.01,60.00,4.00,4.00,8.00
C,60.01,80.00,6.00,5.00,11.00
C,80.01,100.00,7.00,6.00,13.00
C,100.01,120.00,8.00,7.00,15.00
C,120.01,140.00,10.00,8.00,18.00
C,140.01,160.00,11.00,9.00,20.00
C,160.01,180.00,12.00,10.00,22.00
C,180.01,200.00,13.00,11.00,24.00
C,200.01,220.00,15.00,13.00,28.00
C,220.01,240.00,16.00,14.00,30.00
C,240.01,260.00,17.00,15.00,32.00
C,260.01,280.00,19.00,16.00,35.00
C,280.01,300.00,20.00,17.00,37.00
C,300.01,320.00,21.00,18.00,39.00
C,320.01,340.00,23.00,19.00,42.00
C,340.01,360.00,24.00,20.00,44.00
C,360.01,380.00,25.00,21.00,46.00
C,380.01,400.00,26.00,22.00,48.00
C,400.01,420.00,28.00,24.00,52.00
C,420.01,440.00,29.00,25.00,54.00
C,440.01,460.00,30.00,26.00,56.00
C,460.01,480.00,32.00,27.00,59.00
C,480.01,500.00,33.00,28.00,61.00
C,500.01,520.00,34.00,29.00,63.00
C,520.01,540.00,36.00,30.00,66.00
C,540.01,560.00,37.00,31.00,68.00
C,560.01,580.00,38.00,32.00,70.00
C,580.01,600.00,39.00,33.00,72.00
C,600.01,620.00,41.00,35.00,76.00
C,620.01,640.00,42.00,36.00,78.00
C,640.01,660.00,43.00,37.00,80.00
C,660.01,680.00,45.00,38.00,83.00
C,680.01,700.00,46.00,39.00,85.00
C,700.01,720.00,47.00,40.00,87.00
C,720.01,740.00,49.00,41.00,90.00
C,740.01,760.00,50.00,42.00,92.00
C,760.01,780.00,51.00,43.00,94.00
C,780.01,800.00,52.00,44.00,96.00
C,800.01,820.00,54.00,46.00,100.00
C,820.01,840.00,55.00,47.00,102.00
C,840.01,860.00,56.00,48.00,104.00
C,860.01,880.00,58.00,49.00,107.00
C,880.01,900.00,59.00,50.00,109.00
C,900.01,920.00,60.00,51.00,111.00
C,920.01,940.00,62.00,52.00,114.00
C,940.01,960.00,63.00,53.00,116.00
C,960.01,980.00,64.00,54.00,118.00
C,980.01,1000.00,65.00,55.00,120.00
C,1000.01,1020.00,67.00,57.00,124.00
C,1020.01,1040.00,68.00,58.00,126.00
C,1040.01,1060.00,69.00,59.00,128.00
C,1060.01,1080.00,71.00,60.00,131.00
C,1080.01,1100.00,72.00,61.00,133.00
C,1100.01,1120.00,73.00,62.00,135.00
C,1120.01,1140.00,75.00,63.00,138.00
C,1140.01,1160.00,76.00,64.00,140.00
C,1160.01,1180.00,77.00,65.00,142.00
C,1180.01,1200.00,78.00,66.00,144.00
C,1200.01,1220.00,80.00,68.00,148.00
C,1220.01,1240.00,81.00,69.00,150.00
C,1240.01,1260.00,82.00,70.00,152.00
C,1260.01,1280.00,84.00,71.00,155.00
C,1280.01,1300.00,85.00,72.00,157.00
C,1300.01,1320.00,86.00,73.00,159.00
C,1320.01,1340.00,88.00,74.00,162.00
C,1340.01,1360.00,89.00,75.00,164.00
C,1360.01,1380.00,90.00,76.00,166.00
C,1380.01,1400.00,91.00,77.00,168.00
C,1400.01,1420.00,93.00,79.00,172.00
C,1420.01,1440.00,94.00,80.00,174.00
C,1440.01,1460.00,95.00,81.00,176.00
C,1460.01,1480.00,97.00,82.00,179.00
C,1480.01,1500.00,98.00,83.00,181.00
C,1500.01,1520.00,99.00,84.00,183.00
C,1520.01,1540.00,101.00,85.00,186.00
C,1540.01,1560.00,102.00,86.00,188.00
C,1560.01,1580.00,103.00,87.00,190.00
C,1580.01,1600.00,104.00,88.00,192.00
C,1600.01,1620.00,106.00,90.00,196.00
C,1620.01,1640.00,107.00,91.00,198.00
C,1640.01,1660.00,108.00,92.00,200.00
C,1660.01,1680.00,110.00,93.00,203.00
C,1680.01,1700.00,111.00,94.00,205.00
C,1700.01,1720.00,112.00,95.00,207.00
C,1720.01,1740.00,114.00,96.00,210.00
C,1740.01,1760.00,115.00,97.00,212.00
C,1760.01,1780.00,116.00,98.00,214.00
C,1780.01,1800.00,117.00,99.00,216.00
C,1800.01,1820.00,119.00,101.00,220.00
C,1820.01,1840.00,120.00,102.00,222.00
C,1840.01,1860.00,121.00,103.00,224.00
C,1860.01,1880.00,123.00,104.00,227.00
C,1880.01,1900.00,124.00,105.00,229.00
C,1900.01,1920.00,125.00,106.00,231.00
C,1920.01,1940.00,127.00,107.00,234.00
C,1940.01,1960.00,128.00,108.00,236.00
C,1960.01,1980.00,129.00,109.00,238.00
C,1980.01,2000.00,130.00,110.00,240.00
C,2000.01,2020.00,132.00,112.00,244.00
C,2020.01,2040.00,133.00,113.00,246.00
C,2040.01,2060.00,134.00,114.00,248.00
C,2060.01,2080.00,136.00,115.00,251.00
C,2080.01,2100.00,137.00,116.00,253.00
C,2100.01,2120.00,138.00,117.00,255.00
C,2120.01,2140.00,140.00,118.00,258.00
C,2140.01,2160.00,141.00,119.00,260.00
C,2160.01,2180.00,142.00,120.00,262.00
C,2180.01,2200.00,143.00,121.00,264.00
C,2200.01,2220.00,145.00,123.00,268.00
C,2220.01,2240.00,146.00,124.00,270.00
C,2240.01,2260.00,147.00,125.00,272.00
C,2260.01,2280.00,149.00,126.00,275.00
C,2280.01,2300.00,150.00,127.00,277.00
C,2300.01,2320.00,151.00,128.00,279.00
C,2320.01,2340.00,153.00,129.00,282.00
C,2340.01,2360.00,154.00,130.00,284.00
C,2360.01,2380.00,155.00,131.00,286.00
C,2380.01,2400.00,156.00,132.00,288.00
C,2400.01,2420.00,158.00,134.00,292.00
C,2420.01,2440.00,159.00,135.00,294.00
C,2440.01,2460.00,160.00,136.00,296.00
C,2460.01,2480.00,162.00,137.00,299.00
C,2480.01,2500.00,163.00,138.00,301.00
C,2500.01,2520.00,164.00,139.00,303.00
C,2520.01,2540.00,166.00,140.00,306.00
C,2540.01,2560.00,167.00,141.00,308.00
C,2560.01,2580.00,168.00,142.00,310.00
C,2580.01,2600.00,169.00,143.00,312.00
C,2600.01,2620.00,171.00,145.00,316.00
C,2620.01,2640.00,172.00,146.00,318.00
C,2640.01,2660.00,173.00,147.00,320.00
C,2660.01,2680.00,175.00,148.00,323.00
C,2680.01,2700.00,176.00,149.00,325.00
C,2700.01,2720.00,177.00,150.00,327.00
C,2720.01,2740.00,179.00,151.00,330.00
C,2740.01,2760.00,180.00,152.00,332.00
C,2760.01,2780.00,181.00,153.00,334.00
C,2780.01,2800.00,182.00,154.00,336.00
C,2800.01,2820.00,184.00,156.00,340.00
C,2820.01,2840.00,185.00,157.00,342.00
C,2840.01,2860.00,186.00,158.00,344.00
C,2860.01,2880.00,188.00,159.00,347.00
C,2880.01,2900.00,189.00,160.00,349.00
C,2900.01,2920.00,190.00,161.00,351.00
C,2920.01,2940.00,192.00,162.00,354.00
C,2940.01,2960.00,193.00,163.00,356.00
C,2960.01,2980.00,194.00,164.00,358.00
C,2980.01,3000.00,195.00,165.00,360.00
C,3000.01,3020.00,197.00,167.00,364.00
C,3020.01,3040.00,198.00,168.00,366.00
C,3040.01,3060.00,199.00,169.00,368.00
C,3060.01,3080.00,201.00,170.00,371.00
C,3080.01,3100.00,202.00,171.00,373.00
C,3100.01,3120.00,203.00,172.00,375.00
C,3120.01,3140.00,205.00,173.00,378.00
C,3140.01,3160.00,206.00,174.00,380.00
C,3160.01,3180.00,207.00,175.00,382.00
C,3180.01,3200.00,208.00,176.00,384.00
C,3200.01,3220.00,210.00,178.00,388.00
C,3220.01,3240.00,211.00,179.00,390.00
C,3240.01,3260.00,212.00,180.00,392.00
C,3260.01,3280.00,214.00,181.00,395.00
C,3280.01,3300.00,215.00,182.00,397.00
C,3300.01,3320.00,216.00,183.00,399.00
C,3320.01,3340.00,218.00,184.00,402.00
C,3340.01,3360.00,219.00,185.00,404.00
C,3360.01,3380.00,220.00,186.00,406.00
C,3380.01,3400.00,221.00,187.00,408.00
